concept,layer,best_val_acc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,probe_file
fork,10,0.6097500324249268,0.8043,0.8081831071500911,0.798,0.8106,0.8030592734225621,concepts_sequential/saved_probes/fork_layer_10_probe.pth
pin,10,0.6375000476837158,0.8027,0.8042211055276381,0.8002,0.8052,0.8022055137844611,concepts_sequential/saved_probes/pin_layer_10_probe.pth
skewer,10,0.7342499494552612,0.8566,0.8587525150905433,0.8536,0.8596,0.8561685055165497,concepts_sequential/saved_probes/skewer_layer_10_probe.pth
discoveredAttack,10,0.6937500238418579,0.8473,0.864887581424669,0.8232,0.8714,0.8435290501075929,concepts_sequential/saved_probes/discoveredAttack_layer_10_probe.pth
sacrifice,10,0.6210000514984131,0.8035,0.8046576992571772,0.8016,0.8054,0.8031259392846408,concepts_sequential/saved_probes/sacrifice_layer_10_probe.pth
hangingPiece,10,0.8860000371932983,0.9439,0.9188526137006983,0.9738,0.914,0.9455286921060297,concepts_sequential/saved_probes/hangingPiece_layer_10_probe.pth
kingsideAttack,10,0.8214999437332153,0.9076,0.8698729582577133,0.9586,0.8566,0.9120837297811608,concepts_sequential/saved_probes/kingsideAttack_layer_10_probe.pth
exposedKing,10,0.846500039100647,0.9166,0.8833271991166728,0.96,0.8732,0.9200690051753881,concepts_sequential/saved_probes/exposedKing_layer_10_probe.pth
attraction,10,0.6477500200271606,0.8185,0.8217821782178217,0.8134,0.8236,0.8175696049854256,concepts_sequential/saved_probes/attraction_layer_10_probe.pth
deflection,10,0.5537500381469727,0.773,0.766497461928934,0.7852,0.7608,0.7757360205492986,concepts_sequential/saved_probes/deflection_layer_10_probe.pth
interference,10,0.6309319734573364,0.813264722698685,0.7956326987681971,0.7588785046728972,0.854,0.7768211015443488,concepts_sequential/saved_probes/interference_layer_10_probe.pth
clearance,10,0.5827499628067017,0.7869,0.7854726368159204,0.7894,0.7844,0.787431421446384,concepts_sequential/saved_probes/clearance_layer_10_probe.pth
intermezzo,10,0.6522500514984131,0.828,0.8264331210191083,0.8304,0.8256,0.8284118116520351,concepts_sequential/saved_probes/intermezzo_layer_10_probe.pth
advancedPawn,10,0.8487499952316284,0.9188,0.9110718492343934,0.9282,0.9094,0.9195561719833565,concepts_sequential/saved_probes/advancedPawn_layer_10_probe.pth
attackingF2F7,10,0.9529999494552612,0.9758,0.981384055038446,0.97,0.9816,0.9756588211627439,concepts_sequential/saved_probes/attackingF2F7_layer_10_probe.pth
capturingDefender,10,0.7120000123977661,0.8473,0.861544867790964,0.8276,0.867,0.8442313577476283,concepts_sequential/saved_probes/capturingDefender_layer_10_probe.pth
doubleCheck,10,0.8414433002471924,0.9158451062099807,0.9289839572192513,0.8974994833643315,0.9336,0.9129703594702544,concepts_sequential/saved_probes/doubleCheck_layer_10_probe.pth
queensideAttack,10,0.9515000581741333,0.9763,0.9601932367149758,0.9938,0.9588,0.9767076167076167,concepts_sequential/saved_probes/queensideAttack_layer_10_probe.pth
trappedPiece,10,0.8032499551773071,0.8979,0.896551724137931,0.8996,0.8962,0.898073275431766,concepts_sequential/saved_probes/trappedPiece_layer_10_probe.pth
defensiveMove,10,0.5672500133514404,0.7793,0.7836684948202316,0.7716,0.787,0.7775874231583191,concepts_sequential/saved_probes/defensiveMove_layer_10_probe.pth
quietMove,10,0.6015000343322754,0.7969,0.7905656684282638,0.8078,0.786,0.7990899198733802,concepts_sequential/saved_probes/quietMove_layer_10_probe.pth
mate,10,0.7955000400543213,0.8952,0.8792706333973128,0.9162,0.8742,0.8973555337904016,concepts_sequential/saved_probes/mate_layer_10_probe.pth
